Name,Gender,Department,Annual Salary,Location,Rating,Distance to Office,Age,Tenure in Company
Isadora Maunsell,Male,Legal,727000,Bengaluru,Not Rated,28,32,11.6
Isidora Guido,Male,Human Resources,294200,New Delhi,Average,6,31,2.5
Israel Farndon,Male,Legal,582800,Mumbai,Average,19,26,3.2
Issiah Cradick,Male,Research and Development,679800,Bengaluru,Average,17,31,4.5
Itch Tinklin,Female,Legal,497600,Mumbai,Very Good,25,31,0.1
J Kalpana Reddy,Female,Services,699100,New Delhi,Good,8,38,16.9
Jabamani Tudu,Female,Training,1123700,New Delhi,Average,2,26,5.6
Jacklyn Andrioletti,Female,Legal,285800,Mumbai,Average,8,26,1.4
Jahida Javed Subhedar,Female,Accounting,435900,Mumbai,Poor,5,39,7.3
Jaime Dowe,Female,Training,788400,Bengaluru,Average,6,36,10.9
Jalaj Pachouly,Male,Human Resources,619900,Bengaluru,Not Rated,26,26,2
Jan Morforth,Male,Services,771000,New Delhi,Good,6,30,1.4
Janaya MacGinlay,Female,Marketing,660200,Bengaluru,Very Good,28,28,3.9
Janene Hairsine,Female,Support,709300,New Delhi,Average,19,40,3.9
Janhavi Chaudhary,Female,Legal,409800,New Delhi,Very Poor,8,30,7.1
Janhavi Kailas Mahale,Female,Marketing,489800,New Delhi,Very Poor,7,40,8.8
Janina Wolverson,Female,Training,1108200,New Delhi,Good,16,38,8.7
Javed Mehmood Subhedar,Male,Business Development,616900,Mumbai,Good,5,38,14.2
Jaymit Rawal,Male,Support,1048000,Bengaluru,Average,1,27,6.9
Jayshree Ashok Pande,Female,Accounting,562800,New Delhi,Poor,16,40,11
Jeane Blaszczak,Female,Engineering,883800,New Delhi,Good,13,28,4.8
Jeannie Petracco,Female,Engineering,525900,Bengaluru,Good,21,41,5.9
Jemimah Rodrigues,Female,Services,476500,Mumbai,Poor,7,40,1.8
Jessi Calterone,Male,Sales,723500,Mumbai,Good,28,26,0.8
Jessica Burditt,Female,Accounting,399400,Bengaluru,Average,2,38,2.4
Jessica Callcott,Female,Research and Development,281300,Mumbai,Poor,2,32,2.9
Jessika Jaycocks,Female,Engineering,694600,Mumbai,Very Good,27,27,6.2
Jhulan Goswami,Female,Services,1090300,Mumbai,Very Good,13,40,6.1
Jill Shipsey,Male,Product Management,664600,Bengaluru,Average,19,36,8.3
Jillana Gabbitis,Male,Training,508100,Mumbai,Not Rated,18,37,2.6
Jitendra Ramdas Bhosale,Male,Legal,1145100,New Delhi,Average,10,31,4.3
Jiza Ann Thomas,Female,Business Development,862300,Mumbai,Poor,27,37,10.7
Joana Bartocci,Male,Support,732400,New Delhi,Average,20,29,6.6
Jo-anne Gobeau,Female,Business Development,539200,New Delhi,Poor,9,34,12.6
Jobey Boneham,Female,Engineering,1136900,New Delhi,Average,12,41,3.8
Joli Jodrelle,Male,Business Development,1017900,Bengaluru,Average,20,38,11
Jolynn Behnecken,Female,Engineering,389300,Mumbai,Average,21,32,7.7
Jordain Cyster,Female,Human Resources,570900,New Delhi,Very Poor,17,28,5.5
Joshi Bhushan Shrikant,Male,Product Management,1061700,Bengaluru,Poor,21,31,4.7
Joshi Rujuta Milind,Female,Human Resources,595500,Mumbai,Average,7,33,10.6
Juanita Trembey,Not Revealed,Product Management,899600,Bengaluru,Poor,20,29,6.1
Jugal Kishore Anantlal Choudhary,Male,Support,588500,Bengaluru,Poor,22,26,4.3
Juhi Ameta,Female,Product Management,682000,Bengaluru,Average,6,40,17.6
Juhi Rajwani,Female,Marketing,901300,New Delhi,Good,19,36,7.5
K Ramakrishna,Male,Services,450600,New Delhi,Good,16,34,11.6
Kadam Komal Mohan,Female,Product Management,663700,Bengaluru,Average,4,39,1.1
Kai Ryder,Female,Services,858800,Mumbai,Good,15,32,1.8
Kailas Vala,Male,Support,592600,Bengaluru,Poor,19,35,4
Kaine Padly,Male,Legal,617900,Mumbai,Average,7,31,8.7
Kamal Das,Male,Training,481800,Mumbai,Good,2,35,9.4
Kamble Pratik Bibhishan,Male,Product Management,748000,Bengaluru,Very Poor,22,40,2.6
Kamble Tushar Tanaji Vaishali,Male,Business Development,310200,Bengaluru,Average,27,29,7.3
Kapse Rohini Subhash,Female,Product Management,375500,Mumbai,Average,24,27,2.4
Karale Sonali Gowardhan,Female,Support,1188400,Mumbai,Not Rated,22,33,1.5
Karan Sehgal,Male,Human Resources,795700,New Delhi,Average,19,39,7.5
Katey Cadany,Male,Business Development,940500,Bengaluru,Not Rated,21,34,0.3
Katya Hundy,Male,Product Management,812600,Mumbai,Average,12,35,5.8
Kay Edling,Male,Support,367100,Mumbai,Average,18,29,2.6
Kaye Crocroft,Male,Sales,983600,Mumbai,Very Poor,8,36,2.7
Kayley Southwell,Female,Human Resources,396800,Mumbai,Poor,10,37,12.7
Kelci Walkden,Male,Sales,1013900,New Delhi,Good,15,38,15.3
Kelley Rounds,Female,Business Development,807000,Mumbai,Good,28,36,13.2
Kellsie Waby,Male,Sales,780200,Bengaluru,Average,12,35,0.7
Kerwin Blakely,Male,Support,1154900,Mumbai,Poor,1,38,1.5
Khedkar Sagar Dnyandeo,Male,Product Management,1119100,Mumbai,Good,21,40,11.2
Khetre Subhash Namdev,Male,Services,1090500,New Delhi,Average,6,40,2.2
Khyati Vidwans,Female,Services,1093800,New Delhi,Average,18,37,3.8
Kienan Epinay,Male,Research and Development,697100,New Delhi,Average,9,41,13.6
Kiran Uttam Nikam,Male,Support,300000,New Delhi,Average,28,39,1.2
Kiran Wani,Male,Legal,576200,Bengaluru,Very Poor,14,40,2.2
Kirti Dinkar More,Female,Training,1011900,Mumbai,Average,19,29,6.8
Kissiah Maydway,Male,Legal,489800,Mumbai,Very Good,14,35,13.3
Kolhar Shrikrishna Ulhas,Male,Legal,1158400,Bengaluru,Not Rated,8,27,5.9
Konstantin Timblett,Female,Accounting,454500,New Delhi,Very Good,8,30,7.7
Konstanze Wyleman,Male,Support,541400,Mumbai,Average,9,40,13.9
Koral Gerriet,Male,Human Resources,1175200,New Delhi,Average,27,29,3.5
Krishna Jyotreddy Maguluri,Male,Accounting,932100,Bengaluru,Poor,28,36,1.7
Krishna Subudhi,Male,Support,1044700,Bengaluru,Not Rated,29,29,0.9
Krishnamohan Menon,Male,Training,1108900,Mumbai,Poor,8,38,3.8
Kristofor Powner,Male,Training,966600,New Delhi,Average,8,40,15.4
Krystal Lambswood,Female,Services,1183600,New Delhi,Average,17,37,13
Kulkarni Manjiri Arvind,Female,Support,880300,Mumbai,Average,11,33,3.3
Kumar Gaurav Sagar,Male,Product Management,878100,Mumbai,Not Rated,25,38,5
L;urette Bontein,Male,Business Development,515200,Mumbai,Average,8,28,3.1
Lahande Prathamesh Vijay,Male,Sales,602600,Mumbai,Not Rated,15,28,1.1
Lakshay Mehla,Male,Support,612100,New Delhi,Average,23,31,11.3
Lane Monteaux,Female,Research and Development,527500,New Delhi,Average,29,30,7.7
Larissa Ingledow,Male,Product Management,472700,New Delhi,Average,8,31,2.6
Latika Kumari,Female,Sales,1180600,New Delhi,Good,25,32,1.7
Latisha Jolly,Female,Marketing,373600,Bengaluru,Average,24,39,15.8
Layton Kierans,Male,Business Development,665100,New Delhi,Average,2,38,17.2
Leena Bruckshaw,Male,Marketing,295300,New Delhi,Very Poor,20,30,0.4
Leena Rakesh Jadhav,Female,Research and Development,604400,Bengaluru,Very Good,14,30,5.7
Leonidas Cavaney,Male,Engineering,905300,Bengaluru,Very Poor,20,41,9.9
Leslie Cardoso,Female,Training,679500,New Delhi,Very Good,2,38,15.5
Lia Lurner,Female,Accounting,1051200,New Delhi,Average,5,39,3.7
Liji Ravindran,Female,Training,605700,Bengaluru,Good,23,31,1
Lilyan Klimpt,Male,Training,1191100,New Delhi,Good,26,36,11.3
Lincoln Cord,Female,Services,1047700,New Delhi,Poor,10,38,1.4
Lindi Morfey,Male,Sales,703600,Bengaluru,Average,5,27,0.9
Linell Compfort,Female,Support,451100,Mumbai,Not Rated,1,28,2
Lishe Casemore,Male,Business Development,336300,Mumbai,Poor,20,32,1.2
Lisle Danahar,Not Revealed,Training,538700,Mumbai,Good,27,38,2
Lissy McCoy,Female,Engineering,1111900,Bengaluru,Average,10,34,4.4
Loitongbam Ashalata Devi (Captain),Female,Legal,299700,New Delhi,Average,5,30,6.6
Lokhande Ganesh Chandrakant,Male,Support,649600,Bengaluru,Average,15,36,13
Lorain Tew,Female,Product Management,1112300,Mumbai,Average,18,39,5.9
Loralyn Bruton,Male,Sales,995300,Mumbai,Average,14,30,4
Loren Bentote,Male,Research and Development,359800,Bengaluru,Very Good,8,27,1.4
Louise Lamming,Female,Marketing,657000,Mumbai,Very Poor,11,30,6.2
Luca Wolstenholme,Male,Services,1091700,Bengaluru,Good,3,34,7.8
Lucias Minico,Female,Support,950200,Bengaluru,Average,2,36,14.8
Ludovika Plaice,Male,Product Management,872900,New Delhi,Good,26,34,6.5
Madge McCloughen,Not Revealed,Engineering,971100,Mumbai,Average,1,27,6.9
Madhura Amarish Ayachit,Female,Research and Development,594300,Bengaluru,Average,15,37,6.3
Maggee Stiggles,Female,Marketing,1121200,Bengaluru,Average,11,35,4.7
Maggie Ruberti,Male,Research and Development,281600,Mumbai,Not Rated,12,26,4.2
Magnum Locksley,Female,Legal,758700,Bengaluru,Average,19,35,11.2
Mahajan Abha Ajay,Female,Support,932700,Bengaluru,Average,15,26,0.2
Mahantesh M Patil,Male,Training,427300,Bengaluru,Average,6,38,13.4
Mahesh Renguntwar,Male,Services,806100,Mumbai,Average,6,29,5.3
Maibam Linthoingambi Devi,Female,Services,690600,Bengaluru,Very Poor,22,39,14.1
Major O'Cahsedy,Female,Product Management,312800,Mumbai,Average,16,26,5.8
Malekar Rajeshwari Rajanish,Female,Business Development,966100,New Delhi,Very Good,12,30,9.6
Mallory Goldsberry,Male,Business Development,370200,New Delhi,Average,24,35,2.7
Malory Biles,Female,Training,549700,Bengaluru,Average,6,40,3.3
Mandle Satyajeet Balram,Male,Services,419100,Bengaluru,Poor,28,30,2.9
Mane Aishwarya Rajaram,Female,Support,1169700,Mumbai,Very Good,17,28,6.9
Mane Shilpkala Tulashiram,Female,Human Resources,863900,Mumbai,Good,18,40,19.7
Manesh. M,Male,Services,811500,Mumbai,Not Rated,19,36,2.6
Manish Chaturvedi,Male,Accounting,718200,New Delhi,Average,14,36,6.7
Manish Kumar Tamrakar,Male,Research and Development,854600,New Delhi,Average,21,40,8.9
Manisha Kalyan,Female,Business Development,911900,Bengaluru,Poor,9,34,4.9
Manisha Sahay,Female,Support,931600,Bengaluru,Average,25,26,4.5
Manisha Solanki,Female,Marketing,1109500,New Delhi,Poor,29,31,0.1
Manjit Samal,Female,Product Management,359900,Mumbai,Average,11,34,4.7
Manolo Gasnell,Male,Engineering,399700,New Delhi,Average,18,39,13.1
Mansi Joshi,Female,Training,795200,New Delhi,Average,10,31,3.2
Manwani Vandana Tulsidas,Female,Legal,521200,Mumbai,Poor,8,29,1.3
Marathe Vikas Ramchandra,Male,Support,600100,Bengaluru,Average,6,40,1
Marcia Muldrew,Female,Accounting,354400,Mumbai,Good,29,39,6.7
Marco Wooland,Female,Legal,1056100,Bengaluru,Poor,22,34,2.9
Margit Kunze,Male,Accounting,1132800,Mumbai,Good,22,28,3.5
Margot Royds,Female,Engineering,419800,Bengaluru,Average,19,28,5.2
Mariann Mowat,Male,Business Development,1036700,Bengaluru,Average,10,39,15.4
Marissa Infante,Not Revealed,Services,896900,New Delhi,Good,1,41,20.4
Marjie Bamford,Male,Research and Development,876200,Mumbai,Good,22,27,0.7
Marline Wahncke,Male,Research and Development,482500,New Delhi,Poor,19,36,7.3
Marmaduke Worssam,Female,Marketing,857800,Mumbai,Poor,11,32,5
Martita Beaumont,Male,Sales,540100,New Delhi,Poor,25,38,6.4
Mata Fishley,Male,Research and Development,310200,Mumbai,Average,20,34,4.3
Mayur Mukund Gaikwad,Male,Product Management,754800,New Delhi,Average,1,39,15.3
Meenakshi Nayak,Female,Human Resources,935000,Mumbai,Average,23,40,0.7
Megha Maheshwari,Female,Services,986300,Bengaluru,Good,5,33,11.8
Mehak Varmani,Male,Services,763900,Bengaluru,Average,16,29,0.2
Mehta Karan Atulkumar,Male,Marketing,680100,Mumbai,Average,28,40,18.5
Melisa Knott,Female,Human Resources,580300,New Delhi,Good,2,40,17
Melodie Torresi,Female,Training,593000,New Delhi,Good,29,34,13.4
Merrel Blind,Female,Product Management,518000,Mumbai,Average,9,30,8.8
Meryl Waggatt,Female,Accounting,579300,Mumbai,Very Good,1,33,0.4
Michaella Perri,Male,Engineering,405300,Bengaluru,Average,4,32,11
Michale Rolf,Male,Research and Development,482900,New Delhi,Average,17,35,7.4
Michelle Margaret Castanha,Female,Support,637200,New Delhi,Very Good,11,41,10.4
Mickey Pybus,Male,Sales,845000,New Delhi,Average,28,30,2.2
Milind Ashok Natu,Male,Accounting,674300,New Delhi,Average,4,27,5.9
Milind Baliram Bhore,Male,Support,1091200,New Delhi,Not Rated,25,30,4.4
Milind Girdhar Talele,Male,Business Development,697600,New Delhi,Average,5,38,10.9
Milind Vijay Parse,Male,Services,456000,New Delhi,Not Rated,12,37,3.8
Millie Fiveash,Female,Business Development,330300,Bengaluru,Good,25,30,7
Milton Lilie,Female,Business Development,801700,Bengaluru,Average,11,34,12.7
Mithali Raj,Female,Training,435100,New Delhi,Average,26,39,8.2
Mitragotri Pallavi Hrishikesh,Female,Sales,493900,Bengaluru,Average,17,28,8.2
Mohammad Alimullah Anwar,Male,Research and Development,479100,New Delhi,Average,14,28,2.1
Mohammad Bilal Tayeb,Male,Sales,357400,New Delhi,Good,6,38,7.2
Mohammad Salim,Male,Support,422400,Mumbai,Very Good,5,30,3.6
Mohammad Shah Omid,Male,Services,1171500,Bengaluru,Average,12,41,1.4
Mohanish Shah,Male,Engineering,365400,New Delhi,Good,26,35,3
Mona Meshram,Female,Research and Development,872900,New Delhi,Good,26,29,6.8
Monali Ramesh Sonawane,Female,Research and Development,857200,Mumbai,Average,25,35,4.2
Monica Chouksey,Female,Engineering,346200,New Delhi,Very Good,14,37,12.9
Monika Diwakar,Female,Training,626900,Bengaluru,Poor,3,37,3.2
Monti Burdus,Female,Research and Development,302500,New Delhi,Average,27,32,3.4
Moore Gligoraci,Female,Business Development,295300,Bengaluru,Not Rated,27,27,5.4
Mord Cromblehome,Male,Business Development,1031600,New Delhi,Good,3,39,0.6
More Ranjeet Dattatraya,Male,Legal,1097900,New Delhi,Average,19,27,1.9
Mounika P A,Female,Accounting,337600,Mumbai,Average,1,39,5.6
Mrinmoy Chakraborty,Male,Legal,367400,New Delhi,Average,21,39,3.5
Mukesh Kumar,Male,Product Management,312400,Mumbai,Poor,16,35,9.9
Mukti Prakash Behera,Male,Legal,757300,New Delhi,Not Rated,1,26,5.1
Muneshwar Rajesh Niranjan,Male,Engineering,508600,Mumbai,Not Rated,16,36,15.6
Murial Ickovici,Female,Services,842000,Mumbai,Good,27,30,9.5
Musale Shilpa Madhukar,Female,Legal,959800,Bengaluru,Average,21,39,2.8
Nananne Gehringer,Not Revealed,Product Management,659200,New Delhi,Good,5,40,4.2
Nanice Boatwright,Not Revealed,Legal,1136200,Bengaluru,Poor,2,37,1.7
Nannaware Shatabdi Chandramani,Female,Sales,601400,Mumbai,Average,8,36,2.2
Naoma Cruse,Male,Research and Development,924500,New Delhi,Not Rated,15,39,1.4
Napte Kiran Malhari,Male,Human Resources,346500,Mumbai,Average,13,37,6.6
Narasimha Rao N,Male,Services,847400,Bengaluru,Average,9,39,7.9
Narendra Babu Bommenahalli Veerabhadrappa,Male,Business Development,883600,Bengaluru,Average,4,26,2
Naresh Kumar,Male,Services,1162200,Bengaluru,Poor,15,30,6.9
Neelam,Female,Services,1068900,New Delhi,Average,7,35,13.4
Neeti Gupta,Female,Marketing,1074400,New Delhi,Poor,21,31,1.7
Neha Dhruv Agarwal,Female,Human Resources,298100,New Delhi,Average,18,29,0.7
Neha Poddar,Female,Training,1053300,Bengaluru,Poor,29,40,3.9
Neha Saini,Female,Legal,431100,Bengaluru,Average,6,40,9.6
Nema Kumari,Female,Support,526300,Mumbai,Average,1,31,7.8
Nerissa Kavanagh,Male,Sales,463500,New Delhi,Average,15,36,15.5
Nessi Delves,Male,Human Resources,1081700,New Delhi,Not Rated,24,37,11.6
Nganbam Sweety Devi,Female,Services,697300,New Delhi,Very Poor,10,37,16.8
Ngangom Bala Devi,Female,Product Management,1102000,Mumbai,Average,19,29,5.4
Niall Selesnick,Female,Legal,1160900,New Delhi,Not Rated,3,38,9.1
Nickolai Artin,Female,Business Development,521400,Mumbai,Average,5,38,10.5
Nicol Giacomi,Female,Engineering,328100,New Delhi,Average,10,36,7.9
Nicola Kiely,Female,Sales,594300,Bengaluru,Average,28,35,2.1
Nicole Blowfelde,Female,Legal,469900,New Delhi,Average,20,33,6.9
Nicolis Winspire,Male,Sales,335600,New Delhi,Average,24,31,9.5
Nidhi Shah,Female,Sales,338900,Mumbai,Average,3,29,2.5
Nikam Harshwardhan Sudhakar,Male,Training,517400,New Delhi,Poor,22,30,8.2
Niko MacGille,Female,Accounting,516500,Mumbai,Good,15,26,3.2
Niles Mahomet,Female,Research and Development,1159800,Mumbai,Good,26,28,6.3
Nilesh Sathe,Male,Sales,583700,New Delhi,Good,7,37,15.9
Ninad Insulkar,Male,Product Management,1066700,Bengaluru,Average,8,36,7.7
Nisha Trivedi,Female,Accounting,448500,New Delhi,Very Good,17,34,10.9
Nishita Jain,Female,Accounting,756000,Mumbai,Average,5,31,7.9
Nitin Ranjan,Male,Product Management,691200,Mumbai,Average,25,26,2.6
Nivedita Mishra,Female,Human Resources,312000,Mumbai,Very Poor,27,38,16.9
Nollie Courteney,Male,Services,421600,Bengaluru,Very Good,27,28,5.8
Nongmaithem Ratanbala Devi,Female,Services,1108300,New Delhi,Average,29,36,10.8
Norrie Grahl,Not Revealed,Marketing,831800,New Delhi,Average,29,31,4.3
North Bertomeu,Female,Research and Development,467500,Mumbai,Good,17,41,14.6
Northrup Aires,Female,Business Development,785400,New Delhi,Average,12,37,12.5
Novelia Pyffe,Male,Human Resources,1069300,Mumbai,Very Poor,7,38,4.5
Nupur Khanna,Female,Research and Development,770000,Bengaluru,Average,15,38,4.6
Nuzhat Parveen,Female,Product Management,749200,Bengaluru,Average,22,32,2
Oates Dinan,Female,Accounting,365500,New Delhi,Average,28,26,6.1
Oliy Feeney,Female,Accounting,959500,Mumbai,Average,10,28,2.8
Ollie Schirak,Male,Services,858800,Bengaluru,Very Good,19,30,0.3
Ondrea Banfield,Female,Sales,779100,New Delhi,Average,18,32,4
Oran Buxcy,Female,Human Resources,1166700,New Delhi,Average,8,35,4.1
Orlando Gorstidge,Male,Support,719200,Mumbai,Poor,10,34,12.4
Orran Gritskov,Female,Sales,393400,New Delhi,Good,6,32,12.2
Orton Livick,Male,Human Resources,1034900,Mumbai,Good,8,39,18.2
Ottilie Vittel,Female,Legal,877400,New Delhi,Average,15,31,5.4
Pallavi Mohan Budgude,Female,Marketing,1139800,Bengaluru,Poor,27,28,7.8
Pallavi Prakash Sherkar,Female,Engineering,416000,Mumbai,Good,9,37,15.7
Pancho De Ortega,Male,Engineering,1144700,Bengaluru,Very Good,17,29,1.2
Pandurang Galande,Male,Marketing,310500,New Delhi,Good,18,31,6.8
Pankaj Tanwar,Male,Training,766200,Mumbai,Average,11,34,1.8
Pardeshi Aarti Shailendrasingh,Female,Engineering,761900,Mumbai,Poor,26,31,8.6
Paresh Ranka,Male,Research and Development,504500,Bengaluru,Average,6,35,14.3
Parva Bharwada,Female,Services,293300,New Delhi,Average,8,33,3.7
Patel Nadeem Amin,Male,Marketing,769300,Mumbai,Average,15,27,2.3
Pathan Rais Dilawar,Male,Human Resources,338000,Mumbai,Average,9,28,1.1
Patil Amruta Bajirao,Female,Marketing,448200,Mumbai,Average,13,29,8.1
Patil Chetan Ganjidhar,Male,Research and Development,843100,Bengaluru,Average,3,34,5.8
Patricia Dwelly,Male,Legal,1086000,Mumbai,Very Good,17,30,1.9
Pawar Abhay Shashikant,Male,Product Management,470000,Mumbai,Good,18,32,7.2
Pawarkar Ravindra Dattu,Male,Product Management,598100,Bengaluru,Average,27,30,7.8
Payton Pickervance,Male,Legal,903400,New Delhi,Average,25,34,8.7
Pearla Beteriss,Male,Legal,642700,Mumbai,Average,6,33,4.8
Pedro Carluccio,Male,Accounting,1039900,New Delhi,Very Good,2,31,4.5
Peeyush Singhal,Male,Sales,703800,Bengaluru,Good,23,30,0.9
Pembroke Siflet,Female,Legal,890200,Bengaluru,Average,19,36,14.3
Peria Revey,Not Revealed,Legal,1137500,New Delhi,Average,4,31,9.2
Philis Rowlstone,Female,Engineering,327200,New Delhi,Average,4,31,5.6
Phillipp Nekrews,Male,Services,619200,New Delhi,Average,6,28,3.6
Pippy Roxby,Female,Marketing,746000,Bengaluru,Very Good,5,35,3.7
Pisal Hemant Chandrahar,Male,Training,380300,Mumbai,Average,10,27,5.5
Piyush Asthana,Male,Services,309400,New Delhi,Very Poor,22,28,4.3
Pooja Vastrakar,Female,Services,288700,New Delhi,Average,7,26,0.2
Poonam Raut,Female,Marketing,712100,Mumbai,Very Good,3,32,5.3
Poonam Santosh Pawar,Female,Training,634500,New Delhi,Good,26,27,5.8
Poonam Yadav,Female,Services,879300,Mumbai,Very Poor,10,33,3.8
Prachi Manohar Kapte,Female,Business Development,1016100,New Delhi,Average,7,35,4.4
Prachi Rajpurkar,Female,Services,283100,Mumbai,Average,8,34,6
Pradeep Kumar Meena,Male,Legal,898400,Mumbai,Very Good,4,40,16.7
Pradhan Mugdha Dileep,Female,Support,962500,Bengaluru,Average,27,28,3.9
Pragya Saxena,Female,Product Management,1124600,New Delhi,Poor,3,36,9.1
Pranav Chhaya,Male,Human Resources,1154400,Mumbai,Average,7,28,1.7
Pranoti Arvind Kulkarni,Female,Training,339200,New Delhi,Average,23,40,7.9
Prashanti Banerjee,Female,Support,462800,Bengaluru,Average,10,33,10.2
Pratik Thacker,Male,Support,589400,New Delhi,Average,7,40,6
Preeti Mishra,Female,Marketing,1189800,Mumbai,Not Rated,8,34,11.5
Prem Dhage,Male,Sales,967500,New Delhi,Average,29,37,4.6
Prenkesha,Female,Legal,1012200,New Delhi,Good,13,26,1.7
Prerna Goyal,Female,Product Management,630200,Mumbai,Average,20,29,7
Pritesh Ashok Arte,Male,Business Development,759200,New Delhi,Good,2,30,3.3
Priti Gupta,Female,Legal,930800,Bengaluru,Average,23,29,8.1
Priya Punia,Female,Sales,688600,Bengaluru,Good,22,27,3.6
Priya Sachin Jadhav,Female,Engineering,1189800,Mumbai,Poor,5,34,11
Priyamabda Praharaj Ananga,Female,Legal,1064600,Bengaluru,Good,23,35,9.7
Priyanka Majumdar,Female,Business Development,706500,New Delhi,Good,20,30,3.6
Priyanka Satish Bendigiri,Female,Sales,770500,Mumbai,Good,17,28,2.8
Puja Singh,Female,Legal,893600,Mumbai,Good,29,27,2.1
Punam Ananda Salunkhe,Female,Legal,378400,New Delhi,Poor,28,40,3.1
Puneet Kumar,Male,Business Development,891600,Mumbai,Average,3,34,3.2
Pyotr Lightewood,Male,Training,741100,New Delhi,Very Good,11,28,3.4
Quentin Ferraresi,Female,Services,316300,New Delhi,Poor,7,38,6.8
Quintina Kilgannon,Female,Research and Development,409100,Mumbai,Poor,12,26,3.6
Radcliffe Fairpool,Female,Sales,321900,New Delhi,Average,12,39,6.9
Radha Yadav,Female,Human Resources,734900,New Delhi,Poor,24,38,7.7
Radhalekshmi Umeshkrishna,Male,Product Management,522200,New Delhi,Average,5,31,9.7
Rahi Mukund Ajabe,Female,Support,689000,Mumbai,Average,27,38,8.5
Rahul Mailcontractor,Male,Sales,837500,Mumbai,Average,3,36,12.3
Rahul Singh Gautam,Male,Support,1109700,New Delhi,Not Rated,10,27,2.7
Rajesh Jaiswal,Male,Business Development,495200,Mumbai,Average,23,35,6.9
Rajeshwari Gayakwad,Female,Business Development,865600,New Delhi,Average,5,35,8.9
Rajiv Dhawan,Male,Support,358300,New Delhi,Average,18,39,13
Rajni Pathak (Old Miishra),Female,Support,539100,New Delhi,Good,22,37,0.7
Rakhi Kherwasiya,Female,Engineering,1098700,New Delhi,Average,2,40,14
Rakhi Yashwant Jadhav,Female,Engineering,616200,Mumbai,Average,22,31,3.8
Raman Kalra,Male,Human Resources,679600,Mumbai,Average,21,32,3.5
Ramprrasadh Goarty,Male,Training,570000,Mumbai,Very Poor,29,31,8.4
Ranabir Sen,Male,Sales,706100,Bengaluru,Average,5,38,16.5
Rashmi Batra,Female,Training,518600,Mumbai,Good,27,32,4.3
Rashmi Lad,Female,Engineering,601300,Mumbai,Average,19,33,4
Rasia Fryatt,Female,Research and Development,720400,New Delhi,Poor,18,27,6.2
Raut Hema Dhondiram,Female,Product Management,1084500,Bengaluru,Good,13,27,7.1
Ravi Bhushan,Male,Marketing,582600,Mumbai,Average,17,33,6.2
Ravi Kalpana,Female,Research and Development,700200,Mumbai,Average,5,36,5.5
Ravi Vanka,Male,Human Resources,356700,New Delhi,Average,9,29,3.4
Reena McKernan,Female,Accounting,676300,Mumbai,Average,12,34,4.7
Reggie Taylerson,Male,Human Resources,823000,New Delhi,Not Rated,25,31,8.4
Reinald Franken,Female,Business Development,1148700,Bengaluru,Not Rated,26,40,3
Renaldo Thomassin,Male,Sales,710300,Bengaluru,Average,23,31,7
Rey Chartman,Female,Support,856700,New Delhi,Average,1,28,4.2
Richy Gray,Female,Business Development,617000,New Delhi,Average,10,36,11.6
Rina Chakraborty Ghosh,Female,Legal,661400,Mumbai,Good,8,37,10.9
Rishav Raj,Male,Marketing,518600,New Delhi,Good,12,32,6.4
Ritu Rani,Female,Legal,612100,New Delhi,Not Rated,14,35,2.8
Robbert Mandrier,Female,Business Development,689800,New Delhi,Average,12,28,5.5
Roddy Speechley,Male,Accounting,296100,Mumbai,Average,4,28,0.7
Rodrigo Congdon,Female,Engineering,1144300,Bengaluru,Good,25,34,5.9
Rohit Bohra,Male,Product Management,537600,Mumbai,Average,8,28,4.7
Rohit Nigam,Male,Sales,913100,Mumbai,Average,24,33,1.7
Rois Garrigan,Male,Services,1178400,New Delhi,Average,9,38,10.5
Romona Melody,Female,Product Management,318300,Bengaluru,Average,9,31,5
Ronak Rajgor,Male,Legal,329800,Bengaluru,Not Rated,17,38,5.3
Ronnie Mesias,Male,Engineering,473600,Mumbai,Poor,9,37,14.4
Rosaline Wenderott,Female,Engineering,867400,Bengaluru,Very Good,19,30,6.7
Rosamond Fishe,Male,Support,874000,New Delhi,Average,24,30,5.8
Rose Shurrocks,Female,Business Development,750900,Bengaluru,Average,24,34,1
Roselle Wandrach,Male,Accounting,780200,New Delhi,Average,4,31,4
Ruby Cracie,Male,Research and Development,923400,New Delhi,Good,15,41,8.9
Ruchika Sharma,Female,Business Development,588300,Mumbai,Poor,13,30,0.6
Rudyard Tomsa,Female,Research and Development,321400,New Delhi,Good,4,33,3
Rushikesh Raosaheb Satpute,Male,Accounting,1025200,Mumbai,Poor,16,39,2.2
Ruth Tryphosa,Female,Human Resources,795900,Mumbai,Very Poor,26,29,6.6
Ruthanne Beadnell,Female,Support,289700,Bengaluru,Very Good,11,37,1.3
Ryon Baroch,Male,Human Resources,927000,New Delhi,Average,26,29,3.3
Sabina Scorrer,Female,Accounting,361500,New Delhi,Poor,19,30,1.3
Sachin Madhavi,Male,Accounting,529600,Bengaluru,Average,9,41,16.2
Sachin Sharma,Male,Product Management,319200,New Delhi,Average,29,38,7.8
Sagar Joshi,Male,Product Management,1042100,Mumbai,Very Good,4,34,9.4
Sahu Pushpa,Female,Marketing,407500,Bengaluru,Very Poor,26,29,3
Sandeep Pradeep Gajendragadkar,Male,Training,980200,Mumbai,Very Good,25,35,13
